,Country,AverageTemperature,Region
0,Greenland,-18.722340866289983,Western Europe Maddison definition
1,Denmark,-18.186991525423725,Western Europe Maddison definition
2,Russia,-5.636994645247656,Eastern Europe Maddison definition
3,Canada,-5.3364288157332105,Western Offshoots Maddison definition
4,Mongolia,-0.9311180297397779,East Asia Maddison definition
5,Norway,0.022194203864090576,Western Europe Maddison definition
6,Finland,1.1640932711525651,Western Europe Maddison definition
7,Iceland,1.3417315123251172,Western Europe Maddison definition
8,Sweden,2.3134653564290515,Western Europe Maddison definition
9,Kyrgyzstan,3.105950892857145,Eastern Europe Maddison definition
10,Tajikistan,3.9058966900702097,Eastern Europe Maddison definition
11,Liechtenstein,4.576422718187876,Western Europe Maddison definition
12,Estonia,4.741238507661568,Eastern Europe Maddison definition
13,Kazakhstan,5.083327678571427,Eastern Europe Maddison definition
14,Latvia,5.242210193204532,Eastern Europe Maddison definition
15,Belarus,5.735376415722842,Eastern Europe Maddison definition
16,Lithuania,5.831191872085266,Eastern Europe Maddison definition
17,Austria,6.140810126582268,Western Europe Maddison definition
18,China,6.527110947471769,East Asia Maddison definition
19,North Korea,6.656355072463773,East Asia Maddison definition
